Date,White,Black,Result,Elo White,Elo Black,Time Control,Game URL
2023-10-23 06:22:22,shrinath04,riya123498,win,191,233,600,https://www.chess.com/game/live/81956068884
2023-10-23 07:42:30,riya123498,Ashutosh990508,win,238,100,600,https://www.chess.com/game/live/91784961321
2023-10-23 08:02:21,Ashutosh990508,riya123498,stalemate,114,235,600,https://www.chess.com/game/live/91786205063
2023-10-23 08:22:26,riya123498,Ashutosh990508,agreed,232,126,600,https://www.chess.com/game/live/91787356749
2023-10-23 08:22:45,Sa_tu_rn,riya123498,resigned,241,224,600,https://www.chess.com/game/live/81956770914
2023-10-23 08:25:38,Ashutosh990508,riya123498,checkmated,167,214,600,https://www.chess.com/game/live/91788511727
2023-10-23 08:43:19,riya123498,Ashutosh990508,win,221,142,600,https://www.chess.com/game/live/91788552415
2023-10-23 18:13:34,Ashutosh990508,riya123498,insufficient,148,219,600,https://www.chess.com/game/live/91822755017
2023-10-23 18:22:36,riya123498,Ashutosh990508,win,225,128,600,https://www.chess.com/game/live/91823945141
2023-10-23 18:42:51,Ashutosh990508,riya123498,timeout,158,215,600,https://www.chess.com/game/live/91824518747
2023-10-23 18:53:38,riya123498,Ashutosh990508,win,222,139,600,https://www.chess.com/game/live/91825748149
2023-10-23 19:11:40,Ashutosh990508,riya123498,resigned,165,212,600,https://www.chess.com/game/live/91826342035
2023-10-23 19:21:28,riya123498,Ashutosh990508,win,219,148,600,https://www.chess.com/game/live/91827500391
2023-10-24 15:12:20,masonyount,riya123498,win,205,227,600,https://www.chess.com/game/live/81969372140
2023-10-24 15:17:06,Team_JJ1,riya123498,win,174,234,600,https://www.chess.com/game/live/81969461024
2023-10-24 16:52:13,JoAoBrgato,riya123498,win,173,241,600,https://www.chess.com/game/live/81970311796
2023-10-24 17:02:29,ZierraKitten,riya123498,win,259,250,600,https://www.chess.com/game/live/81970375728
2023-10-25 03:30:52,riya123498,SADAKTIV,win,259,305,600,https://www.chess.com/game/live/81974334532
2023-10-25 03:35:33,riya123498,Dkzn47,win,266,192,600,https://www.chess.com/game/live/81974406078
2023-10-25 03:52:03,bunnyboy9908,riya123498,win,252,274,600,https://www.chess.com/game/live/81974430358
2023-10-25 04:44:31,Ashutosh990508,riya123498,win,136,279,600,https://www.chess.com/game/live/91947542279
2023-10-25 05:14:17,riya123498,Ashutosh990508,win,284,125,600,https://www.chess.com/game/live/91948797163
2023-10-25 05:23:51,Ashutosh990508,riya123498,win,115,289,600,https://www.chess.com/game/live/91949927053
2023-10-25 05:41:09,riya123498,Ashutosh990508,checkmated,277,140,600,https://www.chess.com/game/live/91950522865
2023-10-25 06:02:24,Ashutosh990508,riya123498,timeout,162,266,600,https://www.chess.com/game/live/91951711681
2023-10-25 13:48:25,riya123498,saidtolba,win,274,265,600,https://www.chess.com/game/live/81978046206
2023-10-28 19:02:50,nursa_peek,riya123498,win,257,282,600,https://www.chess.com/game/live/82008839564
2023-10-28 19:17:44,SchachHonolulu,riya123498,checkmated,350,275,600,https://www.chess.com/game/live/82008986412
2023-10-28 19:20:47,riya123498,oguzzzzj,win,283,250,600,https://www.chess.com/game/live/82009061680
2023-10-29 12:53:37,DennisTate123,riya123498,win,314,292,600,https://www.chess.com/game/live/82014804648
2023-10-29 13:17:14,riya123498,gabri1965,timeout,283,246,600,https://www.chess.com/game/live/82014916582
2023-11-02 09:53:21,riya123498,nightriderccc,win,290,236,600,https://www.chess.com/game/live/82050339124
2023-11-02 10:08:40,mvpqt,riya123498,win,262,298,600,https://www.chess.com/game/live/82050365988
2023-11-02 10:24:37,aledevigo,riya123498,win,239,305,600,https://www.chess.com/game/live/82050448676
2023-11-02 17:00:45,erenYlimz,riya123498,checkmated,275,296,600,https://www.chess.com/game/live/82053662642
2023-11-03 11:16:41,riya123498,Karthi_Pari,checkmated,290,369,600,https://www.chess.com/game/live/82060176852
2023-11-03 12:22:22,riya123498,Princes_Of_Persia,win,298,281,600,https://www.chess.com/game/live/82060724428
2023-11-03 12:36:54,riya123498,carlosdanielgb,resigned,291,339,600,https://www.chess.com/game/live/82060742154
2023-11-03 13:06:15,riya123498,Ashutosh990508,win,296,151,600,https://www.chess.com/game/live/92755859727
2023-11-03 13:27:13,Ashutosh990508,riya123498,win,141,301,600,https://www.chess.com/game/live/92755889517
2023-11-03 13:33:14,riya123498,Ashutosh990508,win,306,132,600,https://www.chess.com/game/live/92757125783
2023-11-03 14:14:51,Ashutosh990508,riya123498,timevsinsufficient,139,302,600,https://www.chess.com/game/live/92758421861
2023-11-03 14:21:34,riya123498,Ashutosh990508,win,307,131,600,https://www.chess.com/game/live/92760063961
2023-11-04 06:06:49,AndreasN9M,riya123498,win,303,315,600,https://www.chess.com/game/live/82067851902
2023-11-04 06:56:00,Ajith1217,riya123498,insufficient,287,314,600,https://www.chess.com/game/live/82068069824
2023-11-04 07:10:25,riya123498,Viola1980,win,321,273,600,https://www.chess.com/game/live/82068151568
2023-11-04 07:26:41,riya123498,Bergbauch,win,329,292,600,https://www.chess.com/game/live/82068245822
2023-11-04 09:33:24,sunyx10,riya123498,win,317,337,600,https://www.chess.com/game/live/82068888960
2023-11-04 11:39:14,uparr,riya123498,win,348,346,600,https://www.chess.com/game/live/82069668630
2023-11-04 11:56:28,riya123498,space-sanjar-lox,checkmated,337,306,600,https://www.chess.com/game/live/82069762090
2023-11-04 12:03:39,Sai1hhsjbba,riya123498,win,292,344,600,https://www.chess.com/game/live/82069881234
2023-11-04 12:17:27,Sai1hhsjbba,riya123498,win,285,351,600,https://www.chess.com/game/live/82069931242
2023-11-04 12:25:39,riya123498,mtyolo,checkmated,343,363,600,https://www.chess.com/game/live/82070042128
2023-11-04 14:41:37,Martymcflyyyyyy,riya123498,win,429,353,600,https://www.chess.com/game/live/82070986438
2023-11-04 14:45:10,yashrajmishi,riya123498,win,352,532,300,https://www.chess.com/game/live/82071163292
2023-11-05 07:32:28,Charan18717,riya123498,win,248,359,600,https://www.chess.com/game/live/82077149442
2023-11-05 07:43:31,riya123498,Posideion,agreed,360,389,600,https://www.chess.com/game/live/82077206862
2023-11-05 10:15:22,riya123498,Azee124,win,366,278,600,https://www.chess.com/game/live/82078067408
2023-11-05 10:31:19,riya123498,Chethan28,win,376,423,600,https://www.chess.com/game/live/82078074882
2023-11-05 10:54:31,Qzycross,riya123498,win,404,385,600,https://www.chess.com/game/live/92919696877
2023-11-05 12:13:46,riya123498,athbiii,win,392,354,600,https://www.chess.com/game/live/82078794584
2023-11-05 12:31:58,djgayo,riya123498,checkmated,347,383,600,https://www.chess.com/game/live/82078815858
2023-11-06 12:12:07,riya123498,Nixtte,resigned,376,436,600,https://www.chess.com/game/live/82087401426
2023-11-06 12:22:46,Hammedk,riya123498,win,333,383,600,https://www.chess.com/game/live/82087420144
2023-11-06 12:34:47,riya123498,Zjtown,checkmated,376,423,600,https://www.chess.com/game/live/82087497122
2023-11-06 12:46:06,riya123498,SiiAla,resigned,370,472,600,https://www.chess.com/game/live/82087583748
2023-11-06 13:00:58,ronzinopisu,riya123498,win,445,380,600,https://www.chess.com/game/live/82087668774
2023-11-06 13:08:32,riya123498,LarshHet,win,390,465,600,https://www.chess.com/game/live/82087786448
2023-11-06 13:17:20,saaken,riya123498,win,328,397,600,https://www.chess.com/game/live/82087838696
2023-11-08 04:36:12,riya123498,AlfonsoCarpi,resigned,390,451,600,https://www.chess.com/game/live/82102949142
2023-11-08 04:43:44,qwerty12345567098,riya123498,resigned,333,381,600,https://www.chess.com/game/live/82102955740
2023-11-08 04:49:38,avakat11,riya123498,resigned,353,372,600,https://www.chess.com/game/live/82102990754
2023-11-08 05:00:45,riya123498,jokerheath14355,win,379,316,600,https://www.chess.com/game/live/82103024088
2023-11-08 05:09:25,ErikJaco,riya123498,resigned,480,373,600,https://www.chess.com/game/live/82103069648
2023-11-08 05:22:02,riya123498,dominicdesalvo13,resigned,363,315,600,https://www.chess.com/game/live/82103108610
2023-11-08 05:31:47,riya123498,Ulooseeer,win,373,438,600,https://www.chess.com/game/live/82103167302
